ADDR_LN_1,CITY,LATTD,LNGTD
297 COUNTY ROAD 16B,HALLETTSVILLE,29.338059,-96.790535
14297 FM 530,HALLETTSVILLE,29.338291,-96.747076
5151 COUNTY ROAD 15,HALLETTSVILLE,29.338394,-96.838606
3975 COUNTY ROAD 16,HALLETTSVILLE,29.338793,-96.801699
442 COUNTY ROAD 16D,HALLETTSVILLE,29.338993,-96.815989
1314 COUNTY ROAD 12,HALLETTSVILLE,29.339623,-96.885504
1307 COUNTY ROAD 12,HALLETTSVILLE,29.340014,-96.886834
14213 FM 530,HALLETTSVILLE,29.340138,-96.749446
14213 FM 530,HALLETTSVILLE,29.340138,-96.749446
14213 FM 530,HALLETTSVILLE,29.340138,-96.749446
216 COUNTY ROAD 16B,HALLETTSVILLE,29.340337,-96.794049
175 COUNTY ROAD 16B,HALLETTSVILLE,29.340361,-96.796349
966 COUNTY ROAD 458,HALLETTSVILLE,29.340644,-96.957595
966 COUNTY ROAD 458,HALLETTSVILLE,29.340644,-96.957595
962 COUNTY ROAD 458,HALLETTSVILLE,29.340669,-96.957626
155 COUNTY ROAD 391A,HALLETTSVILLE,29.3411,-97.071347
143 COUNTY ROAD 391A,HALLETTSVILLE,29.341219,-97.071202
456 PRIVATE ROAD 1050,HALLETTSVILLE,29.341382,-96.758732
421 PRIVATE ROAD 1050,HALLETTSVILLE,29.341552,-96.758222
421 PRIVATE ROAD 1050,HALLETTSVILLE,29.341552,-96.758222
2621 COUNTY ROAD 387,HALLETTSVILLE,29.341775,-96.981513
2614 COUNTY ROAD 387,HALLETTSVILLE,29.34187,-96.981533
21575 FM 530,HALLETTSVILLE,29.342197,-96.756334
30 PRIVATE ROAD 1061,HALLETTSVILLE,29.342197,-96.756334
281 COUNTY ROAD 131B,HALLETTSVILLE,29.342197,-96.756334
22376 FM 530,HALLETTSVILLE,29.342197,-96.756334
23783 FM 530,HALLETTSVILLE,29.342197,-96.756334
15322 FM 530,HALLETTSVILLE,29.342197,-96.756334
14107 FM 530,HALLETTSVILLE,29.342197,-96.756334
20091 FM 530,HALLETTSVILLE,29.342197,-96.756334
18925 FM 530,HALLETTSVILLE,29.342197,-96.756334
14829 FM 530,HALLETTSVILLE,29.342197,-96.756334
220 COUNTY ROAD 90E,HALLETTSVILLE,29.342197,-96.756334
14829 FM 530,HALLETTSVILLE,29.342197,-96.756334
23783 FM 530,HALLETTSVILLE,29.342197,-96.756334
30 PRIVATE ROAD 1061,HALLETTSVILLE,29.342197,-96.756334
18925 FM 530,HALLETTSVILLE,29.342197,-96.756334
20033 FM 530,HALLETTSVILLE,29.342197,-96.756334
248 COUNTY ROAD 90E,HALLETTSVILLE,29.342197,-96.756334
250 PRIVATE ROAD 1050,HALLETTSVILLE,29.342372,-96.755736
250 PRIVATE ROAD 1050,HALLETTSVILLE,29.342372,-96.755736
174 COUNTY ROAD 16D,HALLETTSVILLE,29.342448,-96.80632
7202 US HIGHWAY 77 S,HALLETTSVILLE,29.342784,-96.968203
89 COUNTY ROAD 12,HALLETTSVILLE,29.343058,-96.896381
1166 COUNTY ROAD 158,HALLETTSVILLE,29.343301,-96.775736
1158 COUNTY ROAD 158,HALLETTSVILLE,29.343333,-96.775636
7069 US HIGHWAY 77 S,HALLETTSVILLE,29.344608,-96.968212
3683 COUNTY ROAD 16,HALLETTSVILLE,29.344955,-96.80152
2562 COUNTY ROAD 1H,HALLETTSVILLE,29.345333,-96.931546
13382 FM 530,HALLETTSVILLE,29.345409,-96.755764
